mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
4000,1,1,20,178.0313080684317,52.783203125,73.09484100341797,108.0999984741211,162.3922882080078,235.80874633789065
600,0p3,0p1,20,0.3899622412859558,0.2191406339406967,0.2963379025459289,0.4250000119209289,0.6299822926521301,0.919773817062378
700,0p3,0p1,20,0.3927310656564425,0.2697509825229645,0.3725005984306335,0.543749988079071,0.806006669998169,1.16683828830719
800,0p3,0p1,20,0.4395824402902802,0.3109374940395355,0.427539050579071,0.621874988079071,0.9292486906051636,1.3612993955612185
900,0p3,0p1,20,0.953306371206564,0.521228015422821,0.7136580944061279,1.0343749523162842,1.5250194072723389,2.189621686935425
1000,0p3,0p1,20,0.7975714725374283,0.6856689453125,0.9090118408203124,1.28125,1.8634613752365112,2.665398597717285
1500,0p3,0p1,20,10.948815953696444,5.411651611328125,9.515649795532228,14.46875,24.273170471191406,40.14497375488281
2000,0p3,0p1,20,69.5230555836527,44.8095703125,65.95408630371094,109.25,188.5064849853516,310.8818054199219
2500,0p3,0p1,20,543.4812376166964,305.771484375,470.669677734375,745.5,1203.1256103515625,2009.31005859375
3000,0p3,0p1,20,3500.441956012227,1687.5,1990.234375,2000.0,4024.90966796875,6065.63916015625
500,0p3,0p5,20,0.2031621453983856,0.1178222671151161,0.1617664396762848,0.2374999970197677,0.362462431192398,0.5381169319152832
600,0p3,0p5,20,0.28690380710421,0.124246209859848,0.1735769361257553,0.258593738079071,0.3956855833530426,0.5910156965255737
700,0p3,0p5,20,0.3031961384216972,0.1666626036167144,0.2449029982089996,0.3843750059604645,0.6065346002578735,0.9096460342407228
800,0p3,0p5,20,0.622715839190703,0.2273437529802322,0.3125976622104645,0.4546875059604645,0.6776131987571716,0.9833076596260072
900,0p3,0p5,20,0.5327944546600942,0.3053100705146789,0.4234359860420227,0.620312511920929,0.934331715106964,1.3805572986602783
1000,0p3,0p5,20,0.3532680265125725,0.2838867008686065,0.4109664857387543,0.637499988079071,1.0186653137207031,1.5720300674438477
1500,0p3,0p5,20,3.280087424213026,1.623291015625,2.2640419006347656,3.40625,5.402136325836182,8.460777282714844
2000,0p3,0p5,20,5.143258201468639,5.2099609375,7.587005615234375,12.125,20.14790725708008,32.82038497924805
2500,0p3,0p5,20,15.793957439515586,15.380859375,22.98431396484375,37.5,63.807884216308594,105.0073699951172
3000,0p3,0p5,20,51.208242429862615,42.43359375,64.4564208984375,106.5,181.21438598632807,293.7635498046875
3500,0p3,0p5,20,424.1445003973182,125.8359375,177.57330322265625,273.0,426.4347534179688,656.6803588867188
4000,0p3,0p5,20,1065.821881106572,262.75390625,383.9976806640625,611.5,1006.369384765625,1692.858642578125
500,0p3,1p5,20,0.0247301084210434,0.0126770017668604,0.0173158645629882,0.0261718742549419,0.0403596945106983,0.0608916096389293
600,0p3,1p5,20,0.0261830487697602,0.020178223028779,0.0292108543217182,0.0453125014901161,0.0702377259731292,0.10559643805027
700,0p3,1p5,20,0.0220343925620405,0.0209564194083213,0.0290645584464073,0.0425781235098838,0.0646414905786514,0.0952849090099334
800,0p3,1p5,20,0.0304186317165185,0.0245269779115915,0.0355062969028949,0.0550781264901161,0.0866924300789833,0.1308756172657013
900,0p3,1p5,20,0.0166034266759226,0.0147857666015625,0.0208289623260498,0.033203125,0.0543789789080619,0.087135374546051
1000,0p3,1p5,20,0.0382420729444598,0.0322265625,0.0453521721065044,0.0687500014901161,0.1084858700633049,0.1666295379400253
1500,0p3,1p5,20,0.1069641106493816,0.0715560913085937,0.1033912301063537,0.162109375,0.2693744003772735,0.449283629655838
2000,0p3,1p5,20,0.9589035337588728,0.34613037109375,0.5221548080444336,0.8359375,1.4090557098388672,2.3029909133911133
2500,0p3,1p5,20,1.4121018444183564,0.68817138671875,1.0164213180541992,1.6015625,2.635753870010376,4.154422760009766
3000,0p3,1p5,20,2.0187629443993997,1.0040283203125,1.5546751022338867,2.5703125,4.393989562988281,7.575338840484619
3500,0p3,1p5,20,2.940741970979981,1.878662109375,2.9615020751953125,5.34375,10.157644271850586,16.201969146728516
4000,0p3,1p5,20,15.602058734571465,4.39013671875,6.458175659179688,10.40625,17.457809448242188,29.316482543945312
500,0p3,2,20,0.0114769033820712,0.00457763671875,0.0061988830566406,0.009765625,0.0144367692992091,0.0196820739656686
600,0p3,2,20,0.0102252461837232,0.00555419921875,0.0083446502685546,0.013671875,0.0210834238678216,0.032929640263319
700,0p3,2,20,0.0069021567559882,0.0072570797055959,0.0102678295224905,0.0160156246274709,0.0264852158725261,0.0414115637540817
800,0p3,2,20,0.0077592909645531,0.0080749513581395,0.0118787763640284,0.019140625372529,0.0298219751566648,0.0453433096408844
900,0p3,2,20,0.0165164542010821,0.0119201662018895,0.0162820816040039,0.024609375745058,0.0391272902488708,0.0603278614580631
1000,0p3,2,20,0.0216433021442316,0.013348389416933,0.0193505305796861,0.0316406264901161,0.0535856634378433,0.0868894606828689
1500,0p3,2,20,0.0347327635346165,0.0276832580566406,0.0390652120113372,0.06005859375,0.0988407656550407,0.1603730469942093
2000,0p3,2,20,0.3309814018242483,0.0958328247070312,0.1435090899467468,0.2314453125,0.3845887780189514,0.6239907145500183
2500,0p3,2,20,0.3013378494437431,0.17791748046875,0.2644634246826172,0.4296875,0.7277064919471741,1.1935484409332275
3000,0p3,2,20,0.5969778706667457,0.33563232421875,0.5209107398986816,0.9140625,1.810361623764038,2.771958827972412
3500,0p3,2,20,3.977405482155631,0.93975830078125,1.5321393013000488,2.703125,4.728782176971436,7.865251064300537
4000,0p3,2,20,2.219938398325752,1.021240234375,1.6262435913085938,2.78125,4.976314067840576,8.430179595947266
