mMed,mDark,rinv,yukawa,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
3500.0,40,0.3,1,8.8854,4.8422,7.0279,11.4250,20.2599,34.4023
4000.0,40,0.3,1,25.1512,10.8424,17.0207,29.4500,51.7539,83.3517
500.0,5,0.3,1,0.0471,0.0343,0.0474,0.0715,0.1031,0.1464
600.0,5,0.3,1,0.0678,0.0387,0.0574,0.0918,0.1496,0.2134
700.0,5,0.3,1,0.0393,0.0235,0.0331,0.0527,0.0885,0.1407
800.0,5,0.3,1,0.0634,0.0363,0.0517,0.0801,0.1270,0.1934
900.0,5,0.3,1,0.0760,0.0463,0.0659,0.0996,0.1564,0.2308
1000.0,5,0.3,1,0.0879,0.0471,0.0690,0.0980,0.1645,0.2407
1500.0,5,0.3,1,0.2415,0.1654,0.2416,0.3797,0.5991,0.8986
2000.0,5,0.3,1,0.8965,0.4082,0.6357,1.1453,2.1953,3.4727
2500.0,5,0.3,1,2.4661,1.1075,1.6155,2.6375,4.6771,7.9941
3000.0,5,0.3,1,6.3277,2.5720,4.1410,7.6562,14.5533,23.2133
3500.0,5,0.3,1,11.9580,7.9211,11.3549,18.0250,29.0897,43.7591
4000.0,5,0.3,1,47.4502,17.2833,26.3713,44.0250,77.3673,133.4321
2000.0,50,0.3,1,1.7569,0.6437,0.9342,1.5187,2.5237,3.9146
2500.0,50,0.3,1,2.7516,1.5435,2.2690,3.7812,6.9464,11.4627
3000.0,50,0.3,1,4.7809,2.4783,4.5517,9.0312,16.7350,26.8760
3500.0,50,0.3,1,14.4428,6.7202,9.7372,15.0250,24.9668,40.3464
4000.0,50,0.3,1,24.1588,8.6496,14.1209,25.5250,47.7051,77.3841
2500.0,60,0.3,1,5.0437,1.8291,2.6476,4.2375,7.3792,11.2939
3000.0,60,0.3,1,25.9711,5.1612,7.6800,12.4062,20.4174,30.8294
3500.0,60,0.3,1,18.4379,8.5784,13.2955,21.4250,34.5767,53.4464
4000.0,60,0.3,1,35.5130,11.8085,19.5031,34.4500,59.9914,95.3146
3000.0,70,0.3,1,5.3959,3.8773,5.5538,8.5938,13.8690,21.2462
3500.0,70,0.3,1,21.7697,9.7454,14.0375,22.3750,36.8234,59.5036
4000.0,70,0.3,1,38.0950,13.9919,20.5793,32.1250,52.3572,86.7090
3000.0,80,0.3,1,8.3490,5.0576,7.1133,10.6562,16.3905,24.2097
3500.0,80,0.3,1,23.8537,8.9492,12.9573,19.7500,30.2203,43.8566
4000.0,80,0.3,1,48.1956,17.8855,26.5565,43.4000,72.1171,109.0594
3500.0,90,0.3,1,38.1907,10.8595,15.5996,24.4937,39.5293,60.0093
4000.0,90,0.3,1,35.6305,16.5914,25.8338,43.7875,72.0628,111.6749
600.0,20,0.3,0.1,0.1167,0.0893,0.1202,0.1714,0.2496,0.3484
700.0,20,0.3,0.1,0.1347,0.0962,0.1290,0.1840,0.2664,0.3397
800.0,20,0.3,0.1,0.1322,0.0839,0.1147,0.1668,0.2493,0.3621
900.0,20,0.3,0.1,0.1746,0.1217,0.1624,0.2318,0.3410,0.4878
1000.0,20,0.3,0.1,0.2498,0.1894,0.2536,0.3588,0.5212,0.7334
1500.0,20,0.3,0.1,1.4363,1.2346,1.6072,2.2141,3.1358,4.3709
2000.0,20,0.3,0.1,10.1194,9.1917,12.3866,17.9625,27.2615,41.5893
2500.0,20,0.3,0.1,72.8302,57.6220,83.4228,135.1000,241.3893,410.7987
3000.0,20,0.3,0.1,291.3532,240.4219,341.1761,535.2000,950.6661,1627.3824
3500.0,20,0.3,0.1,1349.8722,1132.9580,1615.7345,2541.3999,4384.4502,7727.6177
4000.0,20,0.3,0.1,5948.2686,4824.0249,6932.4248,11082.0000,19800.7109,33697.0469
